-0.0570917,0.490469,-0.142433
-0.0581126,0.5,-0.160615
-0.0651903,0.490827,-0.147409
-0.0501295,0.499886,-0.158146
-0.0491703,0.49039,-0.140236
-0.0422027,0.499864,-0.157942
-0.041255,0.49031,-0.138206
-0.0333885,0.490314,-0.137995
-0.0967512,0.48302,-0.150394
-0.0980263,0.492571,-0.170351
-0.104966,0.483425,-0.158828
-0.0896942,0.492013,-0.163935
-0.0885022,0.482531,-0.143063
-0.0813959,0.491458,-0.15796
-0.0803067,0.482078,-0.135859
-0.0732078,0.491024,-0.152426
-0.0722767,0.481834,-0.130923
-0.0641787,0.481457,-0.126034
-0.0562433,0.481312,-0.12338
-0.0483133,0.481157,-0.120483
-0.0404306,0.48107,-0.118941
-0.0326516,0.48117,-0.118924
-0.0255749,0.490426,-0.138054
-0.0248183,0.481165,-0.119393
-0.0176405,0.490276,-0.137743
-0.0170191,0.481229,-0.119604
-0.00980777,0.490343,-0.138905
-0.00929217,0.481463,-0.120911
-0.00203196,0.490557,-0.138462
-0.00142732,0.481382,-0.120708
0.00586407,0.49047,-0.139329
0.00637779,0.481442,-0.121593
0.0136592,0.490659,-0.139662
0.0141247,0.481671,-0.122438
0.0214627,0.490846,-0.141998
0.0219336,0.48174,-0.123647
0.0292989,0.490947,-0.144376
0.0297202,0.48189,-0.124761
0.0370668,0.491324,-0.143731
0.0375096,0.482052,-0.127496
0.0453017,0.482231,-0.129646
-0.120432,0.475178,-0.152546
-0.121956,0.484825,-0.172114
-0.129073,0.47601,-0.163887
-0.113311,0.483962,-0.163574
-0.112136,0.474707,-0.143877
-0.10369,0.474008,-0.13455
-0.0954282,0.473495,-0.126639
-0.0872817,0.473097,-0.120777
-0.0793162,0.47292,-0.116743
-0.0712934,0.472638,-0.112106
-0.0633625,0.472471,-0.109188
-0.0555021,0.472399,-0.107005
-0.047625,0.472287,-0.104451
-0.0397977,0.472249,-0.103605
-0.031982,0.472223,-0.102629
-0.0241988,0.472255,-0.102603
-0.0164517,0.472362,-0.102541
-0.00862033,0.472287,-0.102874
-0.00087841,0.472412,-0.104175
0.00681148,0.472684,-0.104708
0.0146464,0.472588,-0.105029
0.0223955,0.472728,-0.106842
0.0301008,0.473032,-0.108929
0.0378965,0.47306,-0.110561
0.0456327,0.473328,-0.113756
0.0530628,0.482595,-0.133904
0.0533733,0.473637,-0.117072
0.0608419,0.482957,-0.137986
0.061145,0.47386,-0.120723
0.0689147,0.474162,-0.125655
-0.127385,0.466308,-0.137659
-0.135933,0.467018,-0.150537
